time hours since 1900-01-01 00:00:00.0,u10 m s**-1,v10 m s**-1,msl Pa,Distance Weight,surge 
973074,2.644331142,1.790466394,102133.1939,0.042484737,-0.35087
973074,5.056371219,-0.973551938,101831.5648,0,-0.35087
973080,3.258355043,1.896607025,101792.9871,1,-0.12036
973080,5.138975331,2.520364976,101779.2438,0.925526537,-0.12036
973080,3.062858644,1.759932788,101795.3982,0.668373483,-0.12036
973080,3.225313398,2.024557374,101909.6846,0.654728369,-0.12036
973080,3.635580489,2.26737224,101909.6846,0.624853823,-0.12036
973080,6.548752181,3.03071239,101765.9828,0.582631894,-0.12036
973080,3.218429722,1.895153043,101908.7201,0.46780441,-0.12036
973080,2.893520213,1.762840751,101675.8075,0.445078097,-0.12036
973080,5.017822634,2.520364976,101657.242,0.424268478,-0.12036
973080,4.238590508,2.531996825,101903.1746,0.40302331,-0.12036
973080,3.20741584,1.629074477,101797.5682,0.315545264,-0.12036
973080,3.186764812,1.770110657,101681.1119,0.306709763,-0.12036
973080,6.909456804,3.304060863,101630.4787,0.255047385,-0.12036
973080,6.981047035,3.197920232,101754.1684,0.228715459,-0.12036
973080,3.422186532,1.70322752,101906.7912,0.179782517,-0.12036
973080,4.253734595,2.556714506,101894.7357,0.102612387,-0.12036
973080,4.607555543,1.834085831,101677.2541,0.067415409,-0.12036
973080,3.453851442,2.34879519,102034.0975,0.056911339,-0.12036
973080,3.485516351,2.475291557,102029.9986,0.042484737,-0.12036
973080,8.005338027,3.62975266,101609.0199,0,-0.12036
973086,3.285889747,2.534904788,101549.9479,1,-0.1176
973086,4.973767107,3.817316239,101509.9235,0.925526537,-0.1176
973086,3.057351703,2.257194372,101568.7545,0.668373483,-0.1176
973086,2.933445534,2.210666972,101678.9419,0.654728369,-0.1176
973086,3.017426382,2.76027188,101663.9931,0.624853823,-0.1176
973086,6.039360155,5.008126873,101465.077,0.582631894,-0.1176
973086,2.970617385,2.075446717,101689.5508,0.46780441,-0.1176
973086,3.455228177,2.85478066,101405.7638,0.445078097,-0.1176
973086,5.503810161,4.282590235,101359.2295,0.424268478,-0.1176
973086,3.371247329,3.619574791,101632.6487,0.40302331,-0.1176
973086,3.181257871,2.217936878,101586.8377,0.315545264,-0.1176
973086,3.430446943,2.78353558,101434.456,0.306709763,-0.1176
973086,7.28943572,5.65078658,101300.8808,0.255047385,-0.1176
973086,6.394557838,5.935766903,101414.6849,0.228715459,-0.1176
973086,3.046337821,2.015833486,101697.2663,0.179782517,-0.1176
973086,3.412549385,4.339295504,101590.2133,0.102612387,-0.1176
973086,4.436840377,3.000178784,101459.7726,0.067415409,-0.1176
973086,3.071119055,2.252832428,101791.2994,0.056911339,-0.1176
973086,2.916924712,2.441849989,101783.3427,0.042484737,-0.1176
973086,8.418358588,6.725278715,101240.6032,0,-0.1176
973092,3.74434257,5.781644891,101408.8983,1,-0.046958
973092,5.094919805,7.667458557,101341.6285,0.925526537,-0.046958
973092,4.354236265,5.230586002,101455.4326,0.668373483,-0.046958
973092,2.970617385,4.739140344,101573.5767,0.654728369,-0.046958
973092,3.365740389,5.477762813,101532.829,0.624853823,-0.046958
973092,6.31057699,8.659073761,101270.5009,0.582631894,-0.046958
973092,3.466242058,4.243332742,101611.431,0.46780441,-0.046958
973092,4.127074956,6.552254947,101221.5555,0.445078097,-0.046958
973092,5.685539208,8.55293313,101148.2579,0.424268478,-0.046958
973092,4.171130483,6.366145349,101477.3736,0.40302331,-0.046958
973092,4.738345387,5.054654273,101499.5558,0.315545264,-0.046958
973092,4.413435879,6.339973687,101281.1098,0.306709763,-0.046958
973092,6.905326598,9.444223629,101063.3871,0.255047385,-0.046958
973092,7.385807185,9.396242248,101197.4445,0.228715459,-0.046958
973092,3.701663778,3.858027714,101642.7754,0.179782517,-0.046958
973092,4.935218521,7.074234212,101414.6849,0.102612387,-0.046958
